"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00200161298236151,0.308542193490044,0.193,0.16,1,"0","Esp23"
0.0020093621697503,0.254883757118672,0.22,0.184,1,"0","Aldh9a1"
0.00211751256741709,0.267913095439595,0.141,0.111,1,"0","Sntb1"
0.00225661676215031,0.294449841033576,0.202,0.168,1,"0","Slc7a5"
0.00233696668913434,0.274120124586746,0.225,0.19,1,"0","Nbas"
0.0029980383635727,0.253164161809733,0.14,0.111,1,"0","Copb1"
0.00315663028548211,0.308523334608078,0.122,0.096,1,"0","6430548M08Rik"
0.00321255211651462,0.266659510552511,0.184,0.152,1,"0","Slc25a29"
0.00352842936718088,0.355950820452947,0.137,0.109,1,"0","Asns"
0.00406676462252052,0.415582781301461,0.113,0.088,1,"0","Kcnip3"
0.00433584939983717,0.27548364350794,0.163,0.134,1,"0","Wdr61"
0.00463405575237928,0.315208401200373,0.146,0.119,1,"0","Unc13b"
0.00468009910309241,0.310438795968866,0.179,0.148,1,"0","Adk"
0.00481742258134406,0.299531082225582,0.148,0.121,1,"0","Esrp2"
0.00518597504240061,0.284842378382454,0.113,0.089,1,"0","Ibtk"
0.00562985187480736,0.269025672919679,0.135,0.108,1,"0","Ncoa4"
0.00589806834989241,0.270887164421303,0.138,0.112,1,"0","Nudt4"
0.00598366914215532,0.319191915118871,0.134,0.108,1,"0","Inha"
0.00652334983503397,0.309012135236467,0.13,0.105,1,"0","Dnaja4"
0.0066717078800936,0.298262894144775,0.148,0.121,1,"0","Cthrc1"
0.00689939946239298,0.32455641038703,0.122,0.098,1,"0","Plpp1"
0.00715945027724826,0.360182688221597,0.124,0.1,1,"0","Vps13d"
0.00762928822926826,0.339537730562114,0.12,0.097,1,"0","Lima1"
0.00810054906489292,0.273826934659466,0.134,0.109,1,"0","Mpi"
0.00909078084596714,0.277220087096773,0.138,0.113,1,"0","Selenbp1"
0.00964049920054507,0.267327630207683,0.107,0.085,1,"0","Akap9"
1.97626258336499e-323,2.72336233701285,0.975,0.55,2.85115402902067e-319,"1","Jchain"
7.93021517011055e-242,2.64293091489763,0.999,0.822,1.14409214259185e-237,"1","Igkc"
1.1176957531356e-217,1.94045326879188,1,0.882,1.61249966304873e-213,"1","Igha"
5.50500148097813e-110,2.84217753386721,0.339,0.075,7.94206563660715e-106,"1","Iglv1"
1.41908666771495e-93,2.44267607552417,0.556,0.235,2.04731633551236e-89,"1","Iglc2"
1.81963071492757e-92,2.42260826943851,0.459,0.165,2.62518123242601e-88,"1","Mzb1"
2.09825151235636e-73,2.74065866881673,0.709,0.488,3.02714745687653e-69,"1","Slpi"
6.6974271688584e-55,1.73952343978144,0.315,0.111,9.66237817651201e-51,"1","Iglc3"
8.94393367240194e-52,2.66813093098312,0.513,0.288,1.29034131091743e-47,"1","Iglc1"
6.54352474900712e-39,1.08939766448883,0.478,0.267,9.44034315539258e-35,"1","Ly6a"
2.21324022720364e-38,2.17960396306769,0.365,0.185,3.19304167578669e-34,"1","Ighg2b"
1.92186510732045e-34,1.00029016153538,0.679,0.504,2.77267479033121e-30,"1","Hsp90b1"
3.47723948673156e-30,2.69955787728365,0.618,0.554,5.01661340750763e-26,"1","Ighg1"
9.66996303374799e-28,1.85678904364084,0.48,0.334,1.39508556687882e-23,"1","Ighm"
1.94706791630949e-23,2.19244718655328,0.297,0.167,2.8090348828597e-19,"1","Ighg2c"
6.70149729033131e-23,1.08929516759412,0.233,0.11,9.66825014076098e-19,"1","Gm49980"
6.57890953677219e-19,0.561320793164128,0.208,0.098,9.49139278870124e-15,"1","Cd79a"
4.83944393417333e-17,0.504395679038722,0.737,0.632,6.98186576383186e-13,"1","Xbp1"
5.05197223881452e-17,0.422975327253729,0.75,0.65,7.28848034893772e-13,"1","Apoe"
4.08835354065961e-15,0.382528229440775,0.934,0.916,5.89826765310962e-11,"1","Ssr4"
3.53960605157757e-14,1.57629441458312,0.118,0.051,5.10658965061095e-10,"1","Prdx4"
5.98764674230306e-13,0.434791733619887,0.414,0.289,8.63837795512063e-09,"1","Ivns1abp"
7.12480578615294e-13,0.38648431577333,0.777,0.697,1.02789573076828e-08,"1","Manf"
2.33705649495948e-12,0.553798501757316,0.264,0.161,3.37167140527804e-08,"1","Bst2"
3.65241612457164e-12,1.062479661754,0.175,0.096,5.26934074291951e-08,"1","Eaf2"
6.99200763122142e-12,0.356636557542907,0.756,0.672,1.00873694095631e-07,"1","Selenok"
9.37334256058816e-12,0.354638501700245,0.311,0.204,1.35229213121605e-07,"1","Cd52"
1.58765560650825e-11,0.255842808834112,0.551,0.423,2.29051074350946e-07,"1","H2-Ab1"
4.77964950670113e-11,0.674257668315276,0.341,0.241,6.89560034331772e-07,"1","C3"
9.27688554405403e-11,0.553505508854666,0.487,0.383,1.33837627744067e-06,"1","Edem1"
1.05717964315743e-10,0.293040679594203,0.885,0.838,1.52519307118322e-06,"1","Hspa5"
1.48003514229072e-10,0.498862726515998,0.466,0.361,2.13524669978282e-06,"1","Pdia6"
3.29777482598572e-10,0.321712158641991,0.677,0.567,4.7576997414496e-06,"1","Cst3"
